time,probability
15.274667,0.000000
15.296000,0.000000
15.317333,0.000000
15.338667,0.000000
15.360000,0.000000
15.381333,0.000000
15.402667,0.000000
15.424000,0.000000
15.445333,0.000000
15.466667,0.000000
15.488000,0.056135
15.509333,0.175131
15.530667,0.000000
15.552000,0.000000
15.573333,0.000000
15.594667,0.000000
15.616000,0.000000
15.637333,0.000000
15.658667,0.000000
15.680000,0.000000
15.701333,0.000000
15.722667,0.000000
15.744000,0.486752
15.765333,0.009075
15.786667,0.000000
15.808000,0.000000
15.829333,0.000000
15.850667,0.000000
15.872000,0.000000
15.893333,0.000000
15.914667,0.000000
15.936000,0.000000
15.957333,0.000000
15.978667,0.000111
16.000000,1.000000
16.021333,0.000111
16.042667,0.000000
16.064000,0.000000
16.085333,0.000000
16.106667,0.000000
16.128000,0.000000
16.149333,0.000000
16.170667,0.000000
16.192000,0.000000
16.213333,0.000000
16.234667,0.009075
16.256000,0.486752
16.277333,0.000000
16.298667,0.000000
16.320000,0.000000
16.341333,0.000000
16.362667,0.000000
16.384000,0.000000
16.405333,0.000000
16.426667,0.000000
16.448000,0.000000
16.469333,0.000000
16.490667,0.175131
16.512000,0.056135
16.533333,0.000000
16.554667,0.000000
16.576000,0.000000
16.597333,0.000000
16.618667,0.000000
16.640000,0.000000
16.661333,0.000000
16.682667,0.000000
16.704000,0.000000
16.725333,0.000005
16.746667,0.800737
16.768000,0.001534
16.789333,0.000000
16.810667,0.000000
16.832000,0.000000
16.853333,0.000000
16.874667,0.000000
16.896000,0.000000
16.917333,0.000000
16.938667,0.000000
16.960000,0.000000
16.981333,0.000941
17.002667,0.867428
17.024000,0.000000
17.045333,0.000000
17.066667,0.000000
17.088000,0.000000
17.109333,0.000000
17.130667,0.000000
17.152000,0.000000
17.173333,0.000000
17.194667,0.000000
17.216000,0.000000
17.237333,0.040401
17.258667,0.222635
17.280000,0.000000
17.301333,0.000000
17.322667,0.000000
17.344000,0.000000
17.365333,0.000000
17.386667,0.000000
17.408000,0.000000
17.429333,0.000000
17.450667,0.000000
17.472000,0.000000
17.493333,0.411112
17.514667,0.013538
17.536000,0.000000
17.557333,0.000000
17.578667,0.000000
17.600000,0.000000
17.621333,0.000000
17.642667,0.000000
17.664000,0.000000
17.685333,0.000000
17.706667,0.000000
17.728000,0.000063
17.749333,0.991151
17.770667,0.000195
17.792000,0.000000
17.813333,0.000000
17.834667,0.000000
17.856000,0.000000
17.877333,0.000000
17.898667,0.000000
17.920000,0.000000
17.941333,0.000000
17.962667,0.000000
17.984000,0.005976
18.005333,0.566154
18.026667,0.000000
18.048000,0.000000
18.069333,0.000000
18.090667,0.000000
18.112000,0.000000
18.133333,0.000000
18.154667,0.000000
18.176000,0.000000
18.197333,0.000000
18.218667,0.000000
18.240000,0.135335
18.261333,0.076621
18.282667,0.000000
18.304000,0.000000
18.325333,0.000000
18.346667,0.000000
18.368000,0.000000
18.389333,0.000000
18.410667,0.000000
18.432000,0.000000
18.453333,0.000000
18.474667,0.000003
18.496000,0.726149
18.517333,0.002457
18.538667,0.000000
18.560000,0.000000
18.581333,0.000000
18.602667,0.000000
18.624000,0.000000
18.645333,0.000000
18.666667,0.000000
18.688000,0.000000
18.709333,0.000000
18.730667,0.000567
18.752000,0.923116
18.773333,0.000000
18.794667,0.000000
18.816000,0.000000
18.837333,0.000000
18.858667,0.000000
18.880000,0.000000
18.901333,0.000000
18.922667,0.000000
18.944000,0.000000
18.965333,0.000000
18.986667,0.028566
19.008000,0.278037
19.029333,0.000000
19.050667,0.000000
19.072000,0.000000
19.093333,0.000000
19.114667,0.000000
19.136000,0.000000
19.157333,0.000000
19.178667,0.000000
19.200000,0.000000
19.221333,0.000000
19.242667,0.341108
19.264000,0.019841
19.285333,0.000000
19.306667,0.000000
19.328000,0.000000
19.349333,0.000000
19.370667,0.000000
19.392000,0.000000
19.413333,0.000000
19.434667,0.000000
19.456000,0.000000
19.477333,0.000034
19.498667,0.965069
19.520000,0.000335
19.541333,0.000000
19.562667,0.000000
19.584000,0.000000
19.605333,0.000000
19.626667,0.000000
